UENR,UEDAG,VIKT_DAG,BOST_S,D_A_S,D_B_S,D_FORD,D_ARE,D_A_PKT,D_B_PKT,D_A_KL,D_B_KL,BOST_LAN,D_A_SVE,D_B_SVE
20110111070,1,23.2583937684663,13840005,13840005,14800085,121,2,1,4,726,755,13,1,1
20110111070,1,23.2583937684663,13840005,14800085,14800183,11,4,4,10,1500,1528,13,1,1
20110111070,1,23.2583937684663,13840005,14800183,13840005,121,2,10,1,1630,1740,13,1,1
20110111072,1,13.2048970948316,14010015,14010015,14010015,1,6,1,10,1100,1102,14,1,1
20110111072,1,13.2048970948316,14010015,14010015,14010015,1,6,10,1,1115,1120,14,1,1
20110111072,1,13.2048970948316,14010015,14010015,14010015,1,17,1,1,1300,1400,14,1,1
20110111075,1,286.614840182648,25800007,25800007,25800007,1,17,1,1,1330,1415,25,1,1
20110111077,1,4.51413083290601,14800528,14800528,14800200,121,7,1,10,1230,1250,14,1,1
20110111077,1,4.51413083290601,14800528,14800200,14800528,121,7,10,1,1530,1615,14,1,1
20110111082,1,214.894422061062,20610006,20610006,20800006,501,13,1,10,530,630,20,1,1
20110111082,1,214.894422061062,20610006,20800006,20610006,501,13,10,1,632,745,20,1,1
20110111083,1,210.148912167607,12720002,12720002,12720002,501,6,1,10,1400,1410,12,1,1
20110111083,1,210.148912167607,12720002,12720002,12720002,501,6,10,1,1515,1525,12,1,1
20110111088,1,9.35144596651446,14800670,14800670,14800084,501,8,1,10,1200,1210,14,1,1
20110111088,1,9.35144596651446,14800670,14800084,14800668,501,7,10,10,1300,1307,14,1,1
20110111088,1,9.35144596651446,14800670,14800668,14800670,501,8,10,1,1407,1410,14,1,1
20110111093,1,13.7309526838854,1860009,1860009,1860010,1,25,1,10,1300,1305,1,1,1
20110111093,1,13.7309526838854,1860009,1860010,1800019,121,25,10,10,1310,1330,1,1,1
20110111093,1,13.7309526838854,1860009,1800019,1800002,10,25,10,10,1340,1347,1,1,1
20110111093,1,13.7309526838854,1860009,1800002,1800011,10,25,10,10,1348,1355,1,1,1
20110111093,1,13.7309526838854,1860009,1800011,1800011,1,8,10,10,1356,1410,1,1,1
20110111093,1,13.7309526838854,1860009,1800011,1800002,121,19,10,10,1440,1500,1,1,1
20110111093,1,13.7309526838854,1860009,1800002,1800002,1,19,10,10,1501,1510,1,1,1
20110111093,1,13.7309526838854,1860009,1800002,1800002,1,25,10,10,1730,1750,1,1,1
20110111093,1,13.7309526838854,1860009,1800002,1800019,10,25,10,10,1751,1805,1,1,1
20110111093,1,13.7309526838854,1860009,1800019,1860010,121,25,10,10,1813,1830,1,1,1
20110111093,1,13.7309526838854,1860009,1860010,1860009,1,8,10,1,1831,1845,1,1,1
20110111096,1,14.6709252069445,14800615,14800615,14800615,1,17,1,1,1200,1315,14,1,1
20110114002,1,132.527101799624,1800056,1800056,1800056,1,3,1,6,745,750,1,1,1
20110114002,1,132.527101799624,1800056,1800056,1800056,1,7,6,10,1500,1515,1,1,1
20110114002,1,132.527101799624,1800056,1800056,1800056,1,3,10,1,1530,1540,1,1,1
