UENR,VIKT_DAG,UEDAG,D_A_KL,D_B_KL,D_A_PKT,D_B_PKT,D_ARE,D_FORD,BOST_LAN,D_A_S,D_B_S,D_A_SVE,D_B_SVE
8388,21.3901539744728,6,2230,-99,2,1,1,3,12,DK-0217,12830034,1,1
8407,81.9796541691858,4,1630,1638,2,2,10,9,12,12930012,DK-0185,1,1
8407,81.9796541691858,4,1700,1900,2,2,9,6,12,DK-0185,12930070,1,1
8479,22.4036471483169,6,0901,1036,1,2,6,10,12,12760012,DK-0101,1,1
8479,22.4036471483169,6,1335,1548,2,1,1,10,12,DK-0101,12760012,1,1
8531,4.91930167846136,4,1830,2050,2,1,1,5,12,DK-0185,12770016,1,1
8823,8.74181251280604,6,1245,1305,2,2,9,12,12,12930024,DK-0217,1,1
9065,21.0135349826596,7,1200,1600,2,1,1,10,12,,12830033,1,1
9124,7.96837674072969,6,1145,2000,1,2,9,-99,12,12930024,DK-0185,1,1
9390,16.4048639909649,5,1730,1915,2,1,1,10,12,DK-0185,12830033,1,1
9550,151.040124247789,7,0900,1030,2,1,2,5,12,DK-0219,12830006,1,1
10447,35.8744542657065,1,0100,0240,2,1,1,5,12,DK-0185,12720009,1,1
10949,25.9772188311012,5,1330,1500,1,2,9,10,12,12830012,DK-0217,1,1
10949,25.9772188311012,5,1930,2100,2,1,1,10,12,DK-0217,12830012,1,1
11959,79.9233182716789,3,1230,1500,1,2,2,10,12,12830023,DK-0173,1,1
11959,79.9233182716789,3,2000,2230,2,1,1,10,12,DK-0173,12830023,1,1
12025,4.08885891438431,4,0430,0545,1,2,3,10,12,12930057,DK-0185,1,1
12219,6.08316537687907,6,2105,2230,2,1,3,11,12,DK-0185,12930057,1,1
12474,9.138998542728,4,1900,2130,1,2,2,10,12,12830038,DK-0101,1,1
12474,9.138998542728,4,0720,0920,2,1,1,10,12,DK-0101,12830038,1,1
12563,8.74494468947704,3,0830,1000,1,2,9,10,12,12830038,DK-0217,1,1
12563,8.74494468947704,3,1200,1315,2,1,1,10,12,DK-0217,12830038,1,1
13534,50.9316978255517,4,1500,0145,2,1,1,5,12,DK-0265,12830026,1,1
13781,6.25170440506241,2,1800,1910,1,2,5,5,12,12830039,DK-0185,1,1
13781,6.25170440506241,2,2000,2110,2,2,6,5,12,DK-0185,12830011,1,1
14008,8.9341871144897,1,1506,1630,2,1,1,10,12,DK-0185,12900112,1,1
14229,8.9341871144897,5,1030,1255,1,2,9,10,12,12900114,DK-0185,1,1
